Unnamed: 0;2016;2017;2018;2019;2020;2021
&nbspLPA;0.27;0.13;0.44;0.43;-0.77;-0.48
&nbspP/L;54.30;116.71;30.28;42.12;-14.43;-23.41
&nbspVPA;10.54;10.74;10.98;11.16;10.34;10.45
&nbspP/VP;1.39;1.38;1.21;1.63;1.07;1.08
&nbspP/EBIT;16.67;24.66;11.49;15.13;-145.89;51.32
&nbspP/EBITDA;10.86;11.72;7.16;8.25;11.93;9.18
&nbspP/Ativos;0.78;0.77;0.71;0.89;0.52;0.52
&nbspEbitda;155;149;220;261;110;145
&nbspMarg. Ebitda;16%;14%;20%;24%;12%;15%
&nbspPSR;1.77;1.63;1.46;2.00;1.41;1.36
&nbspROE;3%;1%;4%;4%;-7%;-5%
&nbspROA;1%;1%;2%;2%;-4%;-2%
&nbspROIC;5%;3%;7%;6%;0%;1%
&nbspEV/EBIT;16.28;25.98;13.64;13.12;-211.19;73.52
&nbspEV/EBITDA;10.61;12.35;8.50;7.15;17.27;13.15
&nbspDiv. Yield;0,00%;0,00%;0,00%;0,44%;0,81%;0,00%
&nbspDiv. Payout;0%;0%;0%;43%;-7%;-11%
&nbspBeta;0.32;0.41;0.33;0.07;0.88;0.94
&nbspValorização;-24%;1%;-11%;38%;-41%;1%
&nbspNegócios/dia;1262;690;652;700;2232;2515
&nbspVolume diário;10;5;3;3;8;10
