Unnamed: 0;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;-342.51;6.47;7.93;1.59;0.29;1.87;-4.80;1.77;2.36;-0.65;-0.93;0.64;0.91;3.64;-0.92;5.19;3.65;-3.63;-8.80;-0.68
&nbspP/L;-0.58;7.26;11.85;10.98;45.38;8.12;-1.16;7.05;7.54;-18.09;-10.36;25.76;11.81;4.37;-32.75;8.39;12.48;-8.68;-2.87;-86.01
&nbspVPA;674.24;38.96;48.50;12.86;12.17;14.68;7.25;9.13;13.01;12.44;10.88;9.65;7.40;1.68;2.16;7.14;7.41;4.95;-4.85;-1.87
&nbspP/VP;0.29;1.21;1.94;1.35;1.07;1.04;0.77;1.36;1.37;0.95;0.88;1.71;1.46;9.47;13.90;6.10;6.14;6.38;-5.20;-31.23
&nbspP/EBIT;0.48;2.54;4.20;4.31;4.50;4.45;2.91;5.06;4.43;4.89;4.96;4.79;2.41;1.80;4.02;3.71;4.37;-449.00;-283.18;7.40
&nbspP/EBITDA;0.00;0.00;0.00;2.57;2.26;2.36;1.26;2.77;2.95;2.58;2.21;2.74;1.53;1.38;2.77;2.82;3.21;7.03;5.06;4.13
&nbspP/Ativos;0.05;0.23;0.57;0.40;0.28;0.31;0.12;0.29;0.41;0.25;0.19;0.27;0.17;0.21;0.46;0.65;0.61;0.37;0.23;0.49
&nbspEbitda;0;0;0;2453;2049;2788;2236;2337;4821;3647;3464;4796;5626;9167;8634;12288;11295;3576;3976;11263
&nbspMarg. Ebitda;0%;0%;0%;19%;16%;16%;12%;15%;19%;11%;10%;12%;12%;19%;18%;25%;19%;7%;7%;16%
&nbspPSR;0.10;0.32;0.70;0.48;0.36;0.37;0.16;0.42;0.56;0.28;0.22;0.32;0.19;0.27;0.50;0.70;0.63;0.48;0.34;0.68
&nbspROE;-51%;17%;16%;12%;2%;13%;-66%;19%;18%;-5%;-9%;7%;12%;217%;-42%;73%;49%;-73%;181%;36%
&nbspROA;-8%;3%;5%;4%;1%;4%;-11%;4%;5%;-1%;-2%;1%;1%;5%;-1%;8%;5%;-4%;-8%;-1%
&nbspROIC;11%;10%;16%;11%;8%;8%;5%;7%;12%;7%;5%;8%;10%;17%;16%;22%;19%;0%;0%;10%
&nbspEV/EBIT;38.87;41.95;25.35;34.74;50.67;36.34;59.00;43.20;17.18;29.79;38.58;21.72;17.26;9.25;10.22;6.72;7.54;-1180.62;-982.88;11.61
&nbspEV/EBITDA;0.00;0.00;0.00;20.68;25.43;19.28;25.64;23.59;11.46;15.73;17.15;12.41;10.95;7.12;7.04;5.12;5.54;18.49;17.55;6.49
&nbspDiv. Yield;0,00%;0,00%;1,19%;10,80%;1,15%;0,00%;11,49%;0,00%;0,00%;7,05%;6,35%;0,00%;5,65%;3,83%;8,40%;2,90%;4,15%;2,66%;0,00%;0,00%
&nbspDiv. Payout;0%;0%;0%;36%;336%;5%;-25%;0%;0%;-127%;-65%;0%;66%;17%;-274%;24%;52%;-23%;0%;0%
&nbspBeta;0.00;-1.23;0.38;0.55;0.47;0.32;0.24;0.47;0.46;0.84;0.58;0.53;0.31;0.47;0.39;0.57;0.37;0.56;0.84;0.61
&nbspValorização;0%;452%;72%;-23%;-16%;15%;-60%;109%;43%;-32%;-16%;59%;-29%;63%;118%;53%;8%;-29%;-23%;131%
&nbspNegócios/dia;2;4;6;4;7;9;8;13;19;10;12;14;17;22;11;9;10;30;87;107
&nbspVolume diário;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
