Unnamed: 0;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;3.63;4.68;1.08;1.08;1.21;1.59;1.73;1.94;2.01;1.98;1.73;1.22;0.72;1.56;1.28;0.46;-0.48;-0.59
&nbspP/L;21.33;21.99;28.02;15.74;15.67;22.77;27.58;18.66;29.20;20.88;18.42;19.25;32.09;21.22;35.28;84.96;-109.06;-94.80
&nbspVPA;5.14;6.13;1.50;1.58;1.63;2.65;2.92;2.92;3.04;2.72;2.68;2.50;2.30;3.79;5.97;3.92;19.92;20.88
&nbspP/VP;15.07;16.80;20.14;10.75;11.67;13.72;16.35;12.42;19.28;15.20;11.90;9.38;9.99;8.73;7.54;9.87;2.64;2.70
&nbspP/EBIT;16.55;16.80;21.48;11.63;10.75;17.04;17.59;11.81;18.39;12.53;10.01;8.03;9.18;10.49;15.43;24.76;91.39;102.44
&nbspP/EBITDA;0.00;16.08;19.69;10.38;9.62;15.49;16.35;10.90;16.66;11.03;8.79;6.76;7.40;8.18;10.51;13.56;20.58;18.57
&nbspP/Ativos;6.47;6.40;8.31;3.72;3.85;5.70;6.38;4.09;4.68;2.84;1.90;1.08;1.18;0.95;1.26;1.85;1.19;1.25
&nbspEbitda;0;544;654;702;847;1008;1257;1425;1511;1609;1554;1496;1344;1742;1847;2469;3508;4175
&nbspMarg. Ebitda;0%;24%;24%;23%;23%;24%;24%;25%;24%;23%;21%;19%;17%;18%;14%;17%;10%;10%
&nbspPSR;3.71;3.84;4.68;2.37;2.25;3.66;4.00;2.78;3.97;2.53;1.84;1.28;1.26;1.45;1.45;2.32;1.96;1.80
&nbspROE;71%;76%;72%;68%;74%;60%;59%;67%;66%;73%;65%;49%;31%;41%;21%;12%;-2%;-3%
&nbspROA;30%;29%;30%;24%;25%;25%;23%;22%;16%;14%;10%;6%;4%;4%;4%;2%;-1%;-1%
&nbspROIC;42%;43%;45%;35%;39%;37%;51%;47%;44%;33%;28%;22%;20%;14%;11%;10%;2%;2%
&nbspEV/EBIT;198.82;151.60;131.66;126.54;104.59;86.70;67.57;60.43;58.06;56.73;59.40;64.82;74.62;62.15;67.41;62.29;106.68;113.53
&nbspEV/EBITDA;0.00;145.12;120.71;113.02;93.63;78.83;62.80;55.77;52.61;49.95;52.16;54.51;60.20;48.48;45.93;34.11;24.02;20.58
&nbspDiv. Yield;1,33%;2,91%;8,72%;5,35%;5,21%;3,53%;3,15%;4,88%;3,41%;4,79%;5,49%;6,81%;1,87%;0,94%;0,00%;1,34%;0,00%;0,00%
&nbspDiv. Payout;0%;27%;78%;84%;82%;80%;87%;92%;99%;101%;102%;130%;40%;16%;37%;39%;-20%;-5%
&nbspBeta;0.26;0.32;0.70;0.79;0.47;0.47;0.47;0.57;0.32;0.54;0.72;0.91;0.89;1.09;0.70;0.84;1.19;0.84
&nbspValorização;88%;36%;51%;-43%;13%;87%;31%;-23%;66%;-27%;-17%;-18%;-1%;49%;39%;69%;37%;8%
&nbspNegócios/dia;97;99;612;1199;1363;2114;2588;4170;4983;5873;4912;4803;5426;5961;7359;5393;29751;25997
&nbspVolume diário;7;5;15;28;18;26;34;44;55;61;48;30;35;46;59;85;343;345
