Unnamed: 0;2020;2021
&nbspLPA;-0.15;-0.02
&nbspP/L;-91.82;-688.21
&nbspVPA;3.30;3.59
&nbspP/VP;4.06;4.45
&nbspP/EBIT;-75.42;-204.60
&nbspP/EBITDA;638.64;97.23
&nbspP/Ativos;2.75;2.98
&nbspEbitda;10;78
&nbspMarg. Ebitda;1%;6%
&nbspPSR;5.10;5.81
&nbspROE;-4%;-1%
&nbspROA;-3%;0%
&nbspROIC;-6%;-2%
&nbspEV/EBIT;-89.75;-208.63
&nbspEV/EBITDA;759.99;99.14
&nbspDiv. Yield;0,00%;0,00%
&nbspDiv. Payout;-555%;-3.609%
&nbspBeta;0.57;0.67
&nbspValorização;21%;22%
&nbspNegócios/dia;3897;5939
&nbspVolume diário;24;33
